"Name","Location","Function Signature","Function Size"
"___Unwind_RaiseException","005ff004","undefined ___Unwind_RaiseException()","1"
"___Unwind_Resume","005ff028","undefined ___Unwind_Resume()","1"
"___Unwind_Resume_or_Rethrow","005ff04c","undefined ___Unwind_Resume_or_Rethrow()","1"
"__aeabi_cdcmple","005ffee0","undefined __aeabi_cdcmple()","1"
"__aeabi_cdrcmple","005ffec4","undefined __aeabi_cdrcmple()","1"
"__aeabi_dadd","005fdba8","undefined __aeabi_dadd()","684"
"__aeabi_dcmpeq","005ffef4","undefined __aeabi_dcmpeq()","1"
"__aeabi_dcmpge","005fff30","undefined __aeabi_dcmpge()","1"
"__aeabi_dcmpgt","005fff44","undefined __aeabi_dcmpgt()","1"
"__aeabi_dcmple","005fff1c","undefined __aeabi_dcmple()","1"
"__aeabi_dcmplt","005fff08","undefined __aeabi_dcmplt()","1"
"__aeabi_ddiv","005ffc28","undefined __aeabi_ddiv()","396"
"__aeabi_drsub","005fdb9c","undefined __aeabi_drsub()","1"
"__aeabi_dsub","005fdba4","undefined __aeabi_dsub()","1"
"__aeabi_f2d","005fdea0","undefined __aeabi_f2d()","1"
"__aeabi_i2d","005fde78","undefined __aeabi_i2d()","1"
"__aeabi_idivmod","005fdb7c","undefined __aeabi_idivmod()","1"
"__aeabi_ldiv0","005fdfd4","undefined __aeabi_ldiv0()","1"
"__aeabi_ldivmod","005fdf54","undefined __aeabi_ldivmod()","1"
"__aeabi_ui2d","005fde54","undefined __aeabi_ui2d()","1"
"__aeabi_uidivmod","005fda80","undefined __aeabi_uidivmod()","1"
"__aeabi_uldivmod","005fdf98","undefined __aeabi_uldivmod()","1"
"__aeabi_unwind_cpp_pr0","005fe984","undefined __aeabi_unwind_cpp_pr0()","1"
"__aeabi_unwind_cpp_pr1","005fe97c","undefined __aeabi_unwind_cpp_pr1()","1"
"__aeabi_unwind_cpp_pr2","005fe974","undefined __aeabi_unwind_cpp_pr2()","1"
"__android_log_print","00792268","thunk undefined __android_log_print()","1"
"__assert2","007924a4","thunk undefined __assert2()","1"
"__cxa_allocate_dependent_exception","00529df0","undefined __cxa_allocate_dependent_exception()","240"
"__cxa_allocate_exception","00529be8","undefined __cxa_allocate_exception()","256"
"__cxa_atexit","00792004","thunk undefined __cxa_atexit()","1"
"__cxa_bad_cast","0052a338","undefined __cxa_bad_cast()","56"
"__cxa_bad_typeid","0052a380","undefined __cxa_bad_typeid()","56"
"__cxa_begin_catch","0052a610","undefined __cxa_begin_catch()","200"
"__cxa_begin_cleanup","0052a1d8","undefined __cxa_begin_cleanup()","180"
"__cxa_call_unexpected","0052a444","undefined __cxa_call_unexpected()","188"
"__cxa_current_exception_type","005368e0","undefined __cxa_current_exception_type()","44"
"__cxa_demangle","00536774","undefined __cxa_demangle()","1"
"__cxa_end_catch","0052a6e8","undefined __cxa_end_catch()","216"
